	favorite_count	retweet_count	tweet_id
0	38262	8381	892420643555336193
1	32800	6189	892177421306343426
2	24697	4095	891815181378084864
3	41591	8516	891689557279858688
4	39771	9235	891327558926688256
5	19960	3068	891087950875897856
6	11682	2039	890971913173991426
7	64579	18614	890729181411237888
8	27432	4213	890609185150312448
9	31486	7280	890240255349198849
10	30257	7229	890006608113172480
11	27414	4903	889880896479866881
12	47489	9919	889665388333682689
13	26809	4481	889638837579907072
14	14903	2210	889531135344209921
15	24920	5305	889278841981685760
16	28701	4432	888917238123831296
17	25232	4239	888804989199671297
18	19587	3502	888554962724278272
19	21475	3448	888078434458587136
20	29767	5317	887705289381826560
21	45657	11506	887517139158093824
22	68183	17935	887473957103951883
23	33229	10258	887343217045368832
24	30164	5883	887101392804085760
25	34703	7670	886983233522544640
26	11889	3238	886736880519319552
27	22142	4402	886680336477933568
28	20900	3156	886366144734445568
29	116	4	886267009285017600
30	27623	6192	886258384151887873
31	0	105	886054160059072513
32	32245	6706	885984800019947520
33	35516	6339	885528943205470208
34	20156	3708	885518971528720385
35	0	18335	885311592912609280
36	21644	4324	885167619883638784
37	76438	18066	884925521741709313
38	27560	5587	884876753390489601
39	23995	4688	884562892145688576
40	26649	5579	884441805382717440
41	72104	20195	884247878851493888
42	20093	2947	884162670584377345
43	21628	3404	883838122936631299
44	45344	9826	883482846933004288
45	22282	3631	883360690899218434
46	36725	6587	883117836046086144
47	23660	3869	882992080364220416
48	27954	4856	882762694511734784
49	27567	6008	882627270321602560
50	44385	11452	882268110199369728
51	28985	4909	882045870035918850
52	24010	3353	881906580714921986
53	49949	10538	881666595344535552
54	124	7	881633300179243008
55	48833	15757	881536004380872706
56	22794	5107	881268444196462592
57	16804	2750	880935762899988482
58	21010	3771	880872448815771648
59	28182	6205	880465832366813184
60	26731	4168	880221127280381952
61	27296	4308	880095782870896641
62	22058	3458	879862464715927552
63	310	10	879674319642796034
64	23129	3147	879492040517615616
65	104595	43673	879415818425184262
66	16573	3088	879376492567855104
67	0	6753	879130579576475649
68	22297	4673	879050749262655488
69	18750	2667	879008229531029506
70	19183	4083	878776093423087618
71	29919	7126	878604707211726852
72	0	1275	878404777348136964
73	0	6588	878316110768087041
74	7654	1275	878281511006478336
75	41541	6753	878057613040115712
76	78806	18890	877736472329191424
77	0	80	877611172832227328
78	22449	3772	877556246731214848
79	27048	5124	877316821321428993
80	26804	5529	877201837425926144
81	20429	3311	876838120628539392
82	23223	4583	876537666061221889
83	18548	2378	876484053909872640
84	27597	4655	876120275196170240
85	24904	4256	875747767867523072
86	21677	4890	875144289856114688
87	27120	5999	875097192612077568
88	25191	4682	875021211251597312
89	27536	4611	874680097055178752
90	0	14646	874434818259525634
91	25788	4083	874296783580663808
92	22419	3932	874057562936811520
93	34264	10362	874012996292530176
94	23982	3925	873580283840344065
95	0	1581	873337748698140672
96	7169	1581	873213775632977920
97	27120	5385	872967104147763200
98	14579	3683	872820683541237760
99	20600	3688	872620804844003328
100	40336	8980	872486979161796608
101	33926	6303	872261713294495745
102	34184	8105	872122724285648897
103	37716	11168	871879754684805121
104	20128	3473	871762521631449091
105	20080	3448	871515927908634625
106	0	5698	871166179821445120
107	20794	5505	871102520638267392
108	22522	3817	871032628920680449
109	33437	6213	870804317367881728
110	119	3	870726314365509632
111	12345	2653	870656317836468226
112	82321	26274	870374049280663552
113	21740	4165	870308999962521604
114	36530	8382	870063196459192321
115	42279	10073	869772420881756160
116	28159	6368	869702957897576449
117	15932	3142	869596645499047938
118	20381	3804	869227993411051520
119	65553	14582	868880397819494401
120	0	2112	868639477480148993
121	26849	5476	868622495443632128
122	10130	2112	868552278524837888
123	24184	4211	867900495410671616
124	34013	7404	867774946302451713
125	16122	2533	867421006826221569
126	0	123	867072653475098625
127	32284	7948	867051520902168576
128	20128	4865	866720684873056260
129	19379	3529	866686824827068416
130	122613	35697	866450705531457537
131	52773	14646	866334964761202691
132	0	8486	866094527597207552
133	25718	5687	865718153858494464
134	26587	5069	865359393868664832
135	28153	7796	865006731092295680
136	32470	8845	864873206498414592
137	14712	3088	864279568663928832
138	30348	9093	864197398364647424
139	20768	4213	863907417377173506
140	15406	4246	863553081350529029
141	0	2501	863471782782697472
142	23994	5359	863432100342583297
143	2282	99	863427515083354112
144	8835	1119	863079547188785154
145	8595	2501	863062471531167744
146	19333	5180	862831371563274240
147	17205	3595	862722525377298433
148	20732	5053	862457590147678208
149	75220	23781	862096992088072192
150	36428	10921	861383897657036800
151	17368	4246	861288531465048066
152	16894	3890	861005113778896900
153	0	2209	860981674716409858
154	0	842	860924035999428608
155	7593	2209	860563773140209665
156	23889	5397	860524505164394496
157	18512	3559	860276583193509888
158	16885	5970	860184849394610176
159	0	31637	860177593139703809
160	19785	4200	859924526012018688
161	15586	3599	859851578198683649
162	18831	1614	859607811541651456
163	91098	31032	859196978902773760
164	34369	13972	859074603037188101
165	0	8372	858860390427611136
166	15750	3572	858843525470990336
167	21813	4987	858471635011153920
168	15962	3004	858107933456039936
169	16366	2662	857989990357356544
170	34847	10974	857746408056729600
171	6008	1691	857393404942143489
172	20349	4663	857263160327368704
173	233	18	857214891891077121
174	0	177	857062103051644929
175	19276	4138	857029823797047296
176	0	11063	856602993587888130
177	16568	2981	856543823941562368
178	12060	1942	856526610513747968
179	0	702	856330835276025856
180	526	17	856288084350160898
181	28256	6545	856282028240666624
182	353	28	855862651834028034
183	5148	1068	855860136149123072
184	12089	2191	855857698524602368
185	46353	18363	855851453814013952
186	27156	5633	855818117272018944
187	30591	8537	855459453768019968
188	0	6221	855245323840757760
189	0	48	855138241867124737
190	23390	6365	854732716440526848
191	30054	7170	854482394044301312
192	19368	4890	854365224396361728
193	32794	7817	854120357044912130
194	16624	3299	854010172552949760
195	29377	6069	853760880890318849
196	35844	10614	853639147608842240
197	15961	3741	853299958564483072
198	0	2110	852936405516943360
199	9322	1930	852912242202992640
200	15371	2265	852672615818899456
201	16876	3697	852553447878664193
202	34159	10397	852311364735569921
203	20632	7154	852226086759018497
204	11831	1667	852189679701164033
205	0	10155	851953902622658560
206	0	23	851861385021730816
207	16736	3659	851591660324737024
208	25098	7460	851464819735769094
209	21385	6035	851224888060895234
210	32126	9805	850753642995093505
211	13520	2766	850380195714523136
212	3550	352	850333567704068097
213	16915	4050	850145622816686080
214	21213	5182	850019790995546112
215	31612	8040	849776966551130114
216	0	5252	849668094696017920
217	16473	3328	849412302885593088
218	11851	1998	849336543269576704
219	44116	9041	849051919805034497
220	26185	4581	848690551926992896
221	25725	4886	848324959059550208
222	8488	793	848213670039564288
223	16967	3264	848212111729840128
224	0	3460	847978865427394560
225	0	458	847971574464610304
226	24457	5419	847962785489326080
227	5705	1428	847842811428974592
228	7292	451	847617282490613760
229	19554	3609	847606175596138505
230	21294	4569	847251039262605312
231	20813	6230	847157206088847362
232	22320	3396	847116187444137987
233	20951	4181	846874817362120707
234	46598	12375	846514051647705089
235	14744	3296	846505985330044928
236	33102	9666	846153765933735936
237	32210	10519	846139713627017216
238	16687	3086	846042936437604353
239	30623	9333	845812042753855489
240	26220	5102	845677943972139009
241	7974	1937	845397057150107648
242	24380	5761	845306882940190720
243	0	8188	845098359547420673
244	14252	2759	844979544864018432
245	15805	3436	844973813909606400
246	40503	11063	844704788403113984
247	17234	3366	844580511645339650
248	14265	2347	844223788422217728
249	15823	3126	843981021012017153
250	22406	4950	843856843873095681
251	17686	2948	843604394117681152
252	22501	6484	843235543001513987
253	15937	3852	842846295480000512
254	7073	1363	842765311967449089
255	18970	3754	842535590457499648
256	25675	6221	842163532590374912
257	14688	3249	842115215311396866
258	0	16466	841833993020538882
259	26887	8312	841680585030541313
260	13258	3936	841439858740625411
261	20728	5826	841320156043304961
262	16616	5034	841314665196081154
263	24029	5698	841077006473256960
264	0	1885	840761248237133825
265	0	17412	840728873075638272
266	189	2	840698636975636481
267	12915	1053	840696689258311684
268	9422	1885	840632337062862849
269	17304	4895	840370681858686976
270	20264	6165	840268004936019968
271	14124	2472	839990271299457024
272	28960	8372	839549326359670784
273	0	154	839290600511926273
274	28615	7034	839239871831150596
275	20646	4276	838952994649550848
276	11759	2235	838921590096166913
277	0	36	838916489579200512
278	0	11921	838831947270979586
279	11485	1428	838561493054533637
280	23809	5198	838476387338051585
281	0	10893	838201503651401729
282	1768	354	838150277551247360
283	149	0	838085839343206401
284	18573	3398	838083903487373313
285	36030	8486	837820167694528512
286	4042	477	837482249356513284
287	13484	2477	837471256429613056
288	22282	5718	837366284874571778
289	16891	2590	837110210464448512
290	13419	2476	836989968035819520
291	20280	4985	836753516572119041
292	13295	2399	836677758902222849
293	0	593	836648853927522308
294	0	29856	836397794269200385
295	15528	3196	836380477523124226
296	22425	4636	836260088725786625
297	20171	4639	836001077879255040
298	0	8833	835685285446955009
299	18782	3919	835574547218894849
300	0	1844	835536468978302976
301	0	22748	835309094223372289
302	17325	3235	835297930240217089
303	8187	1844	835264098648616962
304	2205	78	835246439529840640
305	27600	6216	835172783151792128
306	23716	3266	835152434251116546
307	11446	1789	834931633769889797
308	22341	5927	834786237630337024
309	14476	2751	834574053763584002
310	0	11563	834477809192075265
311	10170	1814	834458053273591808
312	21783	5191	834209720923721728
313	16652	3936	834167344700198914
314	10617	2303	834089966724603904
315	13811	2405	834086379323871233
316	14177	2605	833863086058651648
317	16224	3729	833826103416520705
318	0	234	833732339549220864
319	21878	3480	833722901757046785
320	15708	2239	833479644947025920
321	21357	5252	833124694597443584
322	14069	2406	832998151111966721
323	0	40	832769181346996225
324	17794	3937	832757312314028032
325	12561	3187	832682457690300417
326	3086	563	832645525019123713
327	16781	3038	832636094638288896
328	12647	2416	832397543355072512
329	18148	3460	832369877331693569
330	11973	2529	832273440279240704
331	0	6723	832215909146226688
332	0	10184	832215726631055365
333	70	2	832088576586297345
334	0	10568	832040443403784192
335	18873	5052	832032802820481025
336	25419	6665	831939777352105988
337	361	35	831926988323639298
338	29295	7084	831911600680497154
339	11065	1971	831670449226514432
340	7602	2110	831650051525054464
341	9537	2490	831552930092285952
342	9733	1662	831322785565769729
343	6909	1213	831315979191906304
344	12420	2656	831309418084069378
345	12619	2230	831262627380748289
346	8454	1627	830956169170665475
347	70968	18335	830583320585068544
348	0	6209	830173239259324417
349	10418	3273	830097400375152640
350	0	5462	829878982036299777
351	12966	2132	829861396166877184
352	33695	11563	829501995190984704
353	11099	2208	829449946868879360
354	36743	10155	829374341691346946
355	26013	8080	829141528400556032
356	56261	17664	829011960981237760
357	0	3709	828801551087042563
358	27141	6411	828770345708580865
359	38879	12249	828708714936930305
360	10091	1469	828650029636317184
361	6679	1253	828409743546925057
362	8116	1400	828408677031882754
363	13408	2422	828381636999917570
364	7844	1160	828376505180889089
365	13310	3205	828372645993398273
366	2330	184	828361771580813312
367	12495	3124	828046555563323392
368	11012	2342	828011680017821696
369	21411	5699	827933404142436356
370	16403	3285	827653905312006145
371	7863	1035	827600520311402496
372	16884	3344	827324948884643840
373	11241	2449	827199976799354881
374	22937	5462	826958653328592898
375	38795	11164	826848821049180160
376	0	4312	826615380357632002
377	5438	277	826598799820865537
378	10716	2562	826598365270007810
379	19606	4580	826476773533745153
380	14119	2823	826240494070030336
381	5189	1018	826204788643753985
382	16686	3427	826115272272650244
383	11128	2042	825876512159186944
384	13565	2721	825829644528148480
385	55429	18798	825535076884762624
386	19481	5004	825147591692263424
387	0	1406	825120256414846976
388	6758	1406	825026590719483904
389	0	6010	824796380199809024
390	15942	3858	824775126675836928
391	10727	1898	824663926340194305
392	12547	11360	824325613288833024
393	16040	4231	824297048279236611
394	5084	646	824025158776213504
395	11352	2970	823939628516474880
396	0	12295	823719002937630720
397	13410	2651	823699002998870016
398	13902	2895	823581115634085888
399	743	29	823333489516937216
400	16781	4399	823322678127919110
401	0	10799	823269594223824897
402	18444	3768	822975315408461824
403	141220	48066	822872901745569793
404	14095	2497	822859134160621569
405	0	7043	822647212903690241
406	15755	3244	822610361945911296
407	19363	7043	822489057087389700
408	30419	16085	822462944365645825
409	37393	10799	822244816520155136
410	0	5272	822163064745328640
411	12127	2566	821886076407029760
412	0	3659	821813639212650496
413	8999	1824	821765923262631936
414	8568	1939	821522889702862852
415	0	6140	821421320206483457
416	12575	4778	821407182352777218
417	272	10	821153421864615936
418	9319	2207	821149554670182400
419	10243	2334	821107785811234820
420	13531	2512	821044531881721856
421	0	7342	820837357901512704
422	33713	10893	820749716845686786
423	13040	3543	820690176645140481
424	0	623	820494788566847489
425	0	2838	820446719150292993
426	3565	623	820314633777061888
427	21185	6897	820078625395449857
428	0	1302	820013781606658049
429	5688	1302	819952236453363712
430	13754	5317	819924195358416896
431	14403	3448	819711362133872643
432	10224	2160	819588359383371776
433	7728	1326	819347104292290561
434	2441	446	819238181065359361
435	24702	7342	819227688460238848
436	0	40290	819015337530290176
437	0	20764	819015331746349057
438	48304	20764	819006400881917954
439	92422	40290	819004803107983360
440	0	22939	818646164899774465
441	23750	8185	818627210458333184
442	10553	2839	818614493328580609
443	0	6748	818588835076603904
444	11679	2725	818536468981415936
445	0	8939	818307523543449600
446	11807	2518	818259473185828864
447	13157	2859	818145370475810820
448	5187	866	817908911860748288
449	55553	29856	817827839487737858
450	11457	2939	817777686764523521
451	12635	3340	817536400337801217
452	0	3725	817502432452313088
453	36672	16466	817423860136083457
454	6017	1061	817415592588222464
455	0	9359	817181837579653120
456	9342	2212	817171292965273600
457	13036	2884	817120970343411712
458	9186	1819	817056546584727552
459	0	5193	816829038950027264
460	10715	2240	816816676327063552
461	10506	2434	816697700272001025
462	32789	8939	816450570814898180
463	9217	2152	816336735214911488
464	9574	2373	816091915477250048
465	0	1147	816062466425819140
466	0	5851	816014286006976512
467	5360	1147	815990720817401858
468	24061	9359	815966073409433600
469	0	4555	815745968457060357
470	10549	2503	815736392542261248
471	8813	1813	815639385530101762
472	11095	4195	815390420867969024
473	8190	1424	814986499976527872
474	12093	2988	814638523311648768
475	0	6397	814578408554463233
476	9297	2044	814530161257443328
477	30870	9582	814153002265309185
478	0	3530	813944609378369540
479	9977	2075	813910438903693312
480	38998	15442	813812741911748608
481	8962	1940	813800681631023104
482	20062	8044	813217897535406080
483	9853	1980	813202720496779264
484	21290	4810	813187593374461952
485	10026	2111	813172488309972993
486	8324	2448	813157409116065792
487	9039	2600	813142292504645637
488	4794	488	813130366689148928
489	12740	3449	813127251579564032
490	11105	3039	813112105746448384
491	11292	3978	813096984823349248
492	10606	3053	813081950185472002
493	8553	2146	813066809284972545
494	22513	8089	813051746834595840
495	8140	2106	812781120811126785
496	0	7650	812747805718642688
497	7119	1575	812709060537683968
498	6531	1352	812503143955202048
499	8589	2120	812466873996607488
500	14723	4041	812372279581671427
501	7799	1547	811985624773361665
502	8117	1779	811744202451197953
503	6000	820	811647686436880384
504	13764	3460	811627233043480576
505	22461	7058	811386762094317568
506	5731	1582	810984652412424192
507	9723	1976	810896069567610880
508	11783	2919	810657578271330305
509	38125	12602	810284430598270976
510	15790	3709	810254108431155201
511	16648	4312	809920764300447744
512	0	5413	809808892968534016
513	7448	1620	809448704142938112
514	21446	6209	809220051211603969
515	14216	3873	809084759137812480
516	10860	3361	808838249661788160
517	8507	2394	808733504066486276
518	12136	2877	808501579447930884
519	45737	22939	808344865868283904
520	0	6574	808134635716833280
521	9375	2423	808106460588765185
522	13532	3904	808001312164028416
523	15666	4071	807621403335917568
524	121205	59900	807106840509214720
525	0	8107	807059379405148160
526	14015	4225	807010152071229440
527	80866	38539	806629075125202948
528	0	6103	806620845233815552
529	5212	2121	806576416489959424
530	10991	2616	806542213899489280
531	0	12931	806242860592926720
532	6909	1321	806219024703037440
533	0	5949	805958939288408065
534	8897	2112	805932879469572096
535	7092	2025	805826884734976000
536	0	8896	805823200554876929
537	6175	1822	805520635690676224
538	9441	2801	805487436403003392
539	8393	1887	805207613751304193
540	14797	4261	804738756058218496
541	6618	2219	804475857670639616
542	0	3561	804413760345620481
543	48056	17938	804026241225523202
544	10815	3063	803773340896923648
545	0	8212	803692223237865472
546	11834	4578	803638050916102144
547	8346	2056	803380650405482500
548	0	5879	803321560782307329
549	10793	2736	803276597545603072
550	9723	2223	802952499103731712
551	0	3244	802624713319034886
552	7665	1627	802600418706604034
553	9624	2770	802572683846291456
554	17508	6465	802323869084381190
555	7111	1506	802265048156610565
556	9784	2881	802239329049477120
557	0	295	802185808107208704
558	8319	1889	801958328846974976
559	1892	260	801854953262350336
560	8833	2275	801538201127157760
561	6529	920	801285448605831168
562	26406	6574	801167903437357056
563	0	4396	801127390143516673
564	8716	2314	801115127852503040
565	745	107	800859414831898624
566	0	1805	800855607700029440
567	11312	3074	800751577355128832
568	14152	3331	800513324630806528
569	10194	2394	800459316964663297
570	0	4775	800443802682937345
571	12021	3103	800388270626521089
572	0	4362	800188575492947969
573	16497	2838	800141422401830912
574	30586	14587	800018252395122689
575	0	5188	799774291445383169
576	9067	2395	799757965289017345
577	8670	2118	799422933579902976
578	0	6127	799308762079035393
579	10683	3069	799297110730567681
580	8734	2726	799063482566066176
581	14203	4959	798933969379225600
582	8016	1591	798925684722855936
583	0	7314	798705661114773508
584	0	8640	798701998996647937
585	0	7204	798697898615730177
586	0	5492	798694562394996736
587	0	2576	798686750113755136
588	0	5230	798682547630837760
589	0	6143	798673117451325440
590	0	4308	798665375516884993
591	0	2051	798644042770751489
592	0	2175	798628517273620480
593	0	6321	798585098161549313
594	0	6493	798576900688019456
595	0	3724	798340744599797760
596	11196	2832	798209839306514432
597	12568	3474	797971864723324932
598	15636	5377	797545162159308800
599	21576	7345	797236660651966464
600	247	29	797165961484890113
601	0	9848	796904159865868288
602	8284	2108	796865951799083009
603	12801	3385	796759840936919040
604	0	8082	796563435802726400
605	8173	1950	796484825502875648
606	11872	4612	796387464403357696
607	0	15845	796177847564038144
608	34903	15845	796149749086875649
609	5322	1976	796125600683540480
610	9797	2682	796116448414461957
611	9122	2571	796080075804475393
612	11650	4082	796031486298386433
613	53737	26384	795464331001561088
614	10896	3172	795400264262053889
615	17504	6010	795076730285391872
616	0	3733	794983741416415232
617	11090	2560	794926597468000259
618	0	11389	794355576146903043
619	10323	2929	794332329137291264
620	9910	3660	794205286408003585
621	18150	5413	793962221541933056
622	9921	2078	793845145112371200
623	0	3451	793614319594401792
624	8602	1813	793601777308463104
625	11532	2640	793500921481273345
626	26547	10184	793286476301799424
627	9322	2620	793271401113350145
628	21547	9232	793256262322548741
629	11340	3629	793241302385262592
630	10614	3170	793226087023144960
631	9634	3115	793210959003287553
632	16470	6226	793195938047070209
633	7462	2202	793180763617361921
634	10140	3084	793165685325201412
635	6652	1889	793150605191548928
636	6973	2765	793135492858580992
637	13685	4328	793120401413079041
638	15461	4446	792913359805018113
639	12203	4731	792883833364439040
640	7919	1861	792773781206999040
641	14530	4746	792394556390137856
642	7743	1987	792050063153438720
643	0	23266	791821351946420224
644	0	10668	791784077045166082
645	0	4203	791780927877898241
646	48676	24557	791774931465953280
647	12682	3451	791672322847637504
648	14155	4555	791406955684368384
649	9473	2816	791312159183634433
650	0	4556	791026214425268224
651	10669	2364	790987426131050500
652	17908	5193	790946055508652032
653	0	2566	790723298204217344
654	8838	2108	790698755171364864
655	22294	7944	790581949425475584
656	8437	2064	790337589677002753
657	13517	3530	790277117346975746
658	0	3950	790227638568808452
659	9972	2566	789986466051088384
660	0	4591	789960241177853952
661	11212	4567	789903600034189313
662	8105	1970	789628658055020548
663	7298	2143	789599242079838210
664	12688	3733	789530877013393408
665	9273	2550	789314372632018944
666	0	5471	789280767834746880
667	9820	2852	789268448748703744
668	10454	3090	789137962068021249
669	29520	13697	788908386943430656
670	29553	11389	788765914992902144
671	0	7962	788552643979468800
672	16808	5860	788412144018661376
673	7798	2340	788178268662984705
674	6629	1439	788150585577050112
675	0	3779	788070120937619456
676	6618	1465	788039637453406209
677	9355	3371	787810552592695296
678	11000	3075	787717603741622272
679	11680	3135	787397959788929025
680	8389	1924	787322443945877504
681	0	7409	787111942498508800
682	28621	8833	786963064373534720
683	0	2667	786729988674449408
684	19563	6723	786709082849828864
685	11493	2835	786664955043049472
686	10123	3418	786595970293370880
687	11741	3873	786363235746385920
688	8589	3160	786286427768250368
689	16483	5272	786233965241827333
690	1550	169	786051337297522688
691	0	7802	786036967502913536
692	12224	3492	785927819176054784
693	7194	2017	785872687017132033
694	8408	2451	785639753186217984
695	9802	2216	785533386513321988
696	6553	1388	785515384317313025
697	7811	1806	785264754247995392
698	13025	5364	785170936622350336
699	10906	3561	784826020293709826
700	9657	2795	784517518371221505
701	6126	1414	784431430411685888
702	21631	8896	784183165795655680
703	32160	12295	784057939640352768
704	32313	11921	783839966405230592
705	7924	2165	783821107061198850
706	11235	3552	783695101801398276
707	9082	2484	783466772167098368
708	18144	6075	783391753726550016
709	0	6172	783347506784731136
710	31434	12931	783334639985389568
711	8749	2445	783085703974514689
712	25919	8107	782969140009107456
713	8026	1537	782747134529531904
714	18556	5949	782722598790725632
715	8360	2062	782598640137187329
716	17917	6140	782305867769217024
717	0	6872	782021823840026624
718	11935	3701	781955203444699136
719	11223	2981	781661882474196992
720	4298	1236	781655249211752448
721	22293	6103	781524693396357120
722	7658	2799	781308096455073793
723	9066	2311	781251288990355457
724	10487	3005	781163403222056960
725	23235	8082	780931614150983680
726	7732	2195	780858289093574656
727	5924	1428	780800785462489090
728	12975	3659	780601303617732608
729	6762	1908	780543529827336192
730	0	4085	780496263422808064
731	0	128	780476555013349377
732	5674	1175	780459368902959104
733	9348	2461	780192070812196864
734	0	2528	780092040432480260
735	13152	5500	780074436359819264
736	20394	7802	779834332596887552
737	9469	3423	779377524342161408
738	0	20259	779124354206535695
739	12674	4003	779123168116150273
740	15882	4972	779056095788752897
741	21512	8004	778990705243029504
742	0	10957	778774459159379968
743	920	403	778764940568104960
744	7401	1467	778748913645780993
745	6195	1641	778650543019483137
746	4998	1115	778624900596654080
747	14639	4780	778408200802557953
748	0	13459	778396591732486144
749	6255	1211	778383385161035776
750	11157	3636	778286810187399168
751	9096	2890	778039087836069888
752	7035	1782	778027034220126208
753	0	3872	777953400541634568
754	6818	1808	777885040357281792
755	12038	3244	777684233540206592
756	0	4667	777641927919427584
757	9412	2737	777621514455814149
758	15343	4759	777189768882946048
759	0	15102	776819012571455488
760	5232	1327	776813020089548800
761	9489	3078	776477788987613185
762	0	10052	776249906839351296
763	32161	17540	776218204058357768
764	10284	2771	776201521193218049
765	12591	4775	776113305656188928
766	1967	166	776088319444877312
767	0	18023	775898661951791106
768	12553	2940	775842724423557120
769	14816	4396	775733305207554048
770	13836	5011	775729183532220416
771	7963	3264	775364825476165632
772	10869	4290	775350846108426240
773	16648	5188	775085132600442880
774	9136	1941	774757898236878852
775	7193	1905	774639387460112384
776	23305	6127	774314403806253056
777	11498	4256	773985732834758656
778	6843	1898	773922284943896577
779	7066	1798	773704687002451968
780	5689	1419	773670353721753600
781	23625	6748	773547596996571136
